username,repo_name,stars,repu_url
electron,electron,105000,https://github.com/electron/electron
puppeteer,puppeteer,81300,https://github.com/puppeteer/puppeteer
microsoft,playwright,46000,https://github.com/microsoft/playwright
FiloSottile,mkcert,38900,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,32100,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,22300,https://github.com/jaywcjlove/linux-command
ovity,octotree,22300,https://github.com/ovity/octotree
segmentio,nightmare,19300,https://github.com/segmentio/nightmare
checkly,headless-recorder,14700,https://github.com/checkly/headless-recorder
google,WebFundamentals,13700,https://github.com/google/WebFundamentals
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
GoogleChrome,chrome-extensions-samples,11300,https://github.com/GoogleChrome/chrome-extensions-samples
casesandberg,react-color,11100,https://github.com/casesandberg/react-color
crimx,ext-saladict,10100,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,9800,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,9200,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,8500,https://github.com/chromedp/chromedp
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
moonD4rk,HackBrowserData,6800,https://github.com/moonD4rk/HackBrowserData
alvarcarto,url-to-pdf-api,6700,https://github.com/alvarcarto/url-to-pdf-api
